-17.564245	-134.980911	-982.019897	
-16.575994	-135.031570	-983.958862	
-16.850872	-134.136948	-983.359741	
-18.173805	-133.674530	-982.469727	
-17.480499	-133.455978	-981.720581	
-17.863932	-132.947235	-982.247803	
-17.338097	-132.920776	-983.611389	
-16.801682	-133.019409	-985.152588	
-18.204529	-132.329071	-982.422058	
-16.930725	-131.981857	-982.868347	
-17.853848	-131.842590	-982.560364	
-17.122616	-131.553268	-983.442017	
-16.635088	-131.597748	-984.563171	
-16.121939	-131.569351	-985.306763	
-37.505089	-133.277847	-1030.594604	
50.128719	-92.756371	-863.121460	
55.593620	-86.554291	-834.624878	
56.023289	-86.477722	-834.749695	
57.076321	-86.617615	-832.916382	
59.422173	-85.792969	-835.539795	
60.349163	-85.636147	-835.873108	
60.733204	-85.554291	-835.939575	
62.641659	-85.241875	-837.149231	
63.038910	-85.137627	-837.098389	
63.592014	-85.074280	-837.697571	
63.911362	-84.997513	-837.723877	
64.410492	-84.950371	-838.394165	
64.765556	-84.856247	-838.315979	
65.138153	-84.775200	-838.403870	
65.656235	-84.736847	-839.159973	
65.986519	-84.653786	-839.331543	
51.062592	-86.852737	-833.686340	
52.750252	-86.527893	-833.756348	
53.230316	-86.438774	-833.693054	
53.694767	-86.333855	-833.505066	
54.334553	-86.257332	-833.783630	
54.675171	-86.180969	-833.633972	
55.301064	-86.075165	-833.878296	
55.687057	-86.009499	-833.947266	
56.094456	-85.947609	-834.099182	
56.773167	-85.806602	-834.325195	
57.089157	-85.734230	-834.221130	
57.726421	-85.638565	-834.467712	
58.599964	-85.468819	-834.504456	
59.204750	-85.376534	-834.914246	
59.506786	-85.311218	-834.943054	
60.089256	-85.226830	-835.280273	
60.448895	-85.150818	-835.414246	
60.838326	-85.080544	-835.464111	
61.723927	-84.916344	-835.965942	
62.334003	-84.828979	-836.438049	
62.744980	-84.734779	-836.576965	
63.142689	-84.703331	-836.912720	
63.699371	-84.601318	-837.258057	
63.996517	-84.535080	-837.356873	
64.511292	-84.459496	-837.779602	
64.873688	-84.360100	-837.849182	
65.234673	-84.320961	-838.192322	
65.784851	-84.189034	-838.516357	
66.072723	-84.123703	-838.592529	
66.590408	-84.075455	-839.334717	
66.976563	-83.982765	-839.492432	
67.360771	-83.901375	-839.774963	
67.851585	-83.803833	-840.229919	
68.147499	-83.739990	-840.384888	
68.579224	-83.659256	-840.997986	
68.917931	-83.609070	-841.319641	
48.552433	-86.654366	-832.944214	
49.223248	-86.523544	-832.894897	
49.622482	-86.433136	-832.775330	
50.717876	-86.232933	-832.774536	
51.161457	-86.084427	-832.339539	
51.866852	-86.014946	-832.844238	
52.203243	-85.934319	-832.716370	
52.925133	-85.839500	-833.010132	
53.851025	-85.637543	-832.864624	
54.512169	-85.513107	-832.986877	
55.460728	-85.367043	-833.190674	
55.854446	-85.313179	-833.299744	
57.226215	-85.046806	-833.509277	
58.322369	-84.839020	-833.767517	
58.746418	-84.757439	-833.942688	
59.368633	-84.690323	-834.333008	
60.255756	-84.519310	-834.649231	
60.599518	-84.461838	-834.765320	
60.998978	-84.393150	-834.939087	
61.585308	-84.309242	-835.336182	
61.875481	-84.264099	-835.462402	
62.492916	-84.156830	-835.899780	
62.884171	-84.051178	-835.845581	
63.297569	-83.992012	-836.177979	
63.852074	-83.888268	-836.471191	
64.139793	-83.819702	-836.545166	
64.674515	-83.722870	-836.870483	
65.011017	-83.696442	-837.280029	
65.364044	-83.595314	-837.224792	
65.927246	-83.504951	-837.763123	
66.201973	-83.448891	-837.905823	
66.740013	-83.373352	-838.490967	
67.134056	-83.319992	-838.891541	
67.500587	-83.231873	-839.038208	
67.988220	-83.132301	-839.437134	
68.270416	-83.060463	-839.599915	
68.721741	-83.051666	-840.482178	
69.046806	-82.972565	-840.605408	
69.404411	-82.913742	-841.012329	
69.840103	-82.848343	-841.556885	
70.139091	-82.748352	-841.617432	
70.587112	-82.713684	-842.385193	
70.948753	-82.658028	-842.831787	
71.302971	-82.569183	-843.133240	
72.035172	-82.459129	-844.254639	
46.888439	-86.460144	-832.612305	
47.622082	-86.346107	-832.525879	
48.134136	-86.256462	-832.474548	
48.632271	-86.134499	-832.199951	
49.347702	-86.073700	-832.522156	
49.710190	-85.995071	-832.355957	
50.393578	-85.842697	-832.190796	
50.811718	-85.798576	-832.276489	
51.259407	-85.723106	-832.373291	
51.959633	-85.614624	-832.500549	
54.596149	-85.153259	-832.719482	
54.911865	-85.096039	-832.696228	
55.537163	-84.989761	-832.822205	
55.933632	-84.927193	-832.907043	
57.010803	-84.733551	-833.077209	
57.306549	-84.679832	-833.169800	
57.954697	-84.583878	-833.569641	
58.392738	-84.474129	-833.438110	
58.825954	-84.428970	-833.798950	
59.440556	-84.314972	-834.038879	
59.736626	-84.256683	-834.032959	
60.318233	-84.153107	-834.314880	
60.682007	-84.082336	-834.364929	
61.089314	-84.013824	-834.606750	
61.675014	-83.895844	-834.834534	
61.957363	-83.851051	-834.883911	
62.559498	-83.730202	-835.134338	
62.972649	-83.683067	-835.557434	
63.356308	-83.549736	-835.294128	
63.933102	-83.520828	-836.207397	
64.225555	-83.427521	-836.138000	
64.757690	-83.369377	-836.685608	
65.089180	-83.276146	-836.718262	
65.455597	-83.221001	-837.013916	
66.000763	-83.120087	-837.460632	
66.271858	-83.067657	-837.565491	
66.814621	-82.955276	-837.909973	
67.198929	-82.894165	-838.365845	
67.566963	-82.824493	-838.640625	
68.080994	-82.739403	-839.251343	
68.366890	-82.668884	-839.390015	
68.817375	-82.605362	-839.926941	
